image_ids,splits
287140,train2014
378461,train2014
199390,train2014
439278,train2014
469918,train2014
370250,train2014
11544,train2014
370258,train2014
148706,train2014
286892,train2014
286897,train2014
286899,train2014
19394,train2014
281774,train2014
103549,train2014
38845,train2014
241611,train2014
57481,train2014
452892,train2014
113991,train2014
244768,train2014
120120,train2014
215304,train2014
215300,train2014
120127,train2014
410345,train2014
235388,train2014
359104,train2014
359106,train2014
248651,train2014
58143,train2014
523055,train2014
82990,train2014
173157,train2014
311179,train2014
467753,train2014
458336,train2014
413929,train2014
311174,train2014
469762,train2014
88398,train2014
279503,train2014
353881,train2014
527748,train2014
322905,train2014
460068,train2014
486807,train2014
260293,train2014
260292,train2014
195513,train2014
286233,train2014
392111,train2014
158614,train2014
392115,train2014
546301,train2014
546306,train2014
323054,train2014
88029,train2014
434125,train2014
153776,train2014
100014,train2014
100012,train2014
119868,train2014
436793,train2014
119860,train2014
218842,train2014
53733,train2014
10702,train2014
10701,train2014
510581,train2014
9253,train2014
489785,train2014
149143,train2014
247469,train2014
247465,train2014
49562,train2014
491728,train2014
411430,train2014
500603,train2014
212824,train2014
424837,train2014
353260,train2014
349358,train2014
154274,train2014
349354,train2014
154279,train2014
250990,train2014
349352,train2014
168083,train2014
254678,train2014
254670,train2014
362656,train2014
362657,train2014
160259,train2014
58075,train2014
458804,train2014
506605,train2014
458802,train2014
160250,train2014
158718,train2014
575040,train2014
158713,train2014
211552,train2014
158717,train2014
90311,train2014
320503,train2014
90317,train2014
320508,train2014
90319,train2014
193821,train2014
484401,train2014
484407,train2014
418611,train2014
163506,train2014
415435,train2014
112959,train2014
513052,train2014
513053,train2014
194089,train2014
462353,train2014
256290,train2014
268147,train2014
118806,train2014
353850,train2014
549939,train2014
54171,train2014
54173,train2014
280307,train2014
543470,train2014
291285,train2014
94544,train2014
94549,train2014
94548,train2014
570178,train2014
559840,train2014
290485,train2014
156652,train2014
290482,train2014
20251,train2014
20255,train2014
40966,train2014
44425,train2014
40962,train2014
454078,train2014
40961,train2014
460857,train2014
495726,train2014
216021,train2014
495722,train2014
416167,train2014
416165,train2014
340296,train2014
242142,train2014
23501,train2014
303233,train2014
344794,train2014
27616,train2014
169026,train2014
497768,train2014
97939,train2014
444206,train2014
161610,train2014
59036,train2014
161617,train2014
97936,train2014
174680,train2014
215592,train2014
192886,train2014
381186,train2014
357994,train2014
357996,train2014
496839,train2014
356641,train2014
356645,train2014
283650,train2014
430281,train2014
355594,train2014
8549,train2014
497494,train2014
430285,train2014
497498,train2014
12838,train2014
65884,train2014
532449,train2014
296777,train2014
564848,train2014
135463,train2014
320816,train2014
92269,train2014
221379,train2014
66505,train2014
174358,train2014
66507,train2014
151382,train2014
258495,train2014
145432,train2014
258499,train2014
174356,train2014
359201,train2014
50414,train2014
55629,train2014
374924,train2014
570824,train2014
374922,train2014
189101,train2014
55627,train2014
413923,train2014
111549,train2014
389074,train2014
268681,train2014
52819,train2014
149923,train2014
22675,train2014
60903,train2014
580216,train2014
110493,train2014
381723,train2014
110490,train2014
217046,train2014
217040,train2014
466863,train2014
484599,train2014
348299,train2014
424485,train2014
469512,train2014
424489,train2014
423454,train2014
348291,train2014
161510,train2014
150161,train2014
536055,train2014
267504,train2014
267502,train2014
464598,train2014
394,train2014
459747,train2014
383764,train2014
383760,train2014
354644,train2014
258237,train2014
572084,train2014
567301,train2014
428485,train2014
428486,train2014
161515,train2014
567305,train2014
289790,train2014
189509,train2014
93139,train2014
292258,train2014
425685,train2014
292257,train2014
536374,train2014
165611,train2014
104273,train2014
109836,train2014
389692,train2014
98107,train2014
3745,train2014
424157,train2014
505391,train2014
167613,train2014
222555,train2014
508516,train2014
289248,train2014
431628,train2014
99851,train2014
572550,train2014
289242,train2014
289245,train2014
99856,train2014
544796,train2014
478899,train2014
250387,train2014
250385,train2014
141848,train2014
535130,train2014
52109,train2014
578702,train2014
227003,train2014
535136,train2014
561145,train2014
534848,train2014
143995,train2014
260888,train2014
301218,train2014
330909,train2014
420819,train2014
357202,train2014
146313,train2014
185902,train2014
330907,train2014
113147,train2014
330901,train2014
185906,train2014
113142,train2014
21931,train2014
458475,train2014
210090,train2014
210097,train2014
458478,train2014
340736,train2014
517232,train2014
371789,train2014
517230,train2014
539538,train2014
349658,train2014
371786,train2014
347962,train2014
402844,train2014
57088,train2014
402846,train2014
376785,train2014
480779,train2014
210322,train2014
278907,train2014
409740,train2014
297911,train2014
335999,train2014
480773,train2014
351968,train2014
408294,train2014
476772,train2014
351966,train2014
265106,train2014
534266,train2014
534267,train2014
561015,train2014
561012,train2014
380449,train2014
517584,train2014
517586,train2014
569264,train2014
517582,train2014
380440,train2014
520176,train2014
130997,train2014
107705,train2014
478646,train2014
478645,train2014
537408,train2014
478643,train2014
475232,train2014
58930,train2014
16706,train2014
471929,train2014
302740,train2014
376436,train2014
471927,train2014
269738,train2014
24149,train2014
341065,train2014
341062,train2014
341060,train2014
341061,train2014
112235,train2014
80590,train2014
347380,train2014
512872,train2014
33758,train2014
471697,train2014
269621,train2014
271417,train2014
344729,train2014
146861,train2014
437711,train2014
516189,train2014
344720,train2014
298644,train2014
147192,train2014
375200,train2014
375202,train2014
197661,train2014
189951,train2014
142342,train2014
197662,train2014
226664,train2014
375208,train2014
142349,train2014
528275,train2014
445495,train2014
138982,train2014
464833,train2014
445491,train2014
68344,train2014
176612,train2014
464839,train2014
157242,train2014
137452,train2014
470211,train2014
331697,train2014
331695,train2014
67373,train2014
528587,train2014
108101,train2014
565771,train2014
275242,train2014
442154,train2014
88987,train2014
220842,train2014
220843,train2014
136587,train2014
403074,train2014
170139,train2014
368253,train2014
30334,train2014
234569,train2014
277576,train2014
229525,train2014
268468,train2014
109858,train2014
76160,train2014
263231,train2014
361738,train2014
147735,train2014
147733,train2014
562098,train2014
529586,train2014
562092,train2014
361736,train2014
72396,train2014
272143,train2014
170689,train2014
345899,train2014
39509,train2014
345897,train2014
526187,train2014
565435,train2014
115274,train2014
332417,train2014
143436,train2014
115270,train2014
339446,train2014
143439,train2014
374553,train2014
225313,train2014
77855,train2014
180141,train2014
338319,train2014
35217,train2014
35211,train2014
101702,train2014
117275,train2014
136323,train2014
230712,train2014
330124,train2014
132669,train2014
359340,train2014
87901,train2014
511328,train2014
331291,train2014
181815,train2014
109278,train2014
511325,train2014
527587,train2014
206817,train2014
30711,train2014
300745,train2014
53731,train2014
218096,train2014
95793,train2014
43856,train2014
392358,train2014
128858,train2014
359691,train2014
392352,train2014
128850,train2014
359695,train2014
142981,train2014
323213,train2014
559642,train2014
552617,train2014
485113,train2014
323218,train2014
482326,train2014
308292,train2014
482320,train2014
448839,train2014
277243,train2014
73446,train2014
92746,train2014
551099,train2014
73440,train2014
407770,train2014
528189,train2014
515518,train2014
407779,train2014
407778,train2014
515513,train2014
515512,train2014
366173,train2014
366171,train2014
247668,train2014
205391,train2014
366174,train2014
247660,train2014
131315,train2014
231049,train2014
346812,train2014
326598,train2014
561842,train2014
131312,train2014
336406,train2014
561849,train2014
231047,train2014
277435,train2014
240123,train2014
124117,train2014
240129,train2014
240128,train2014
376843,train2014
140850,train2014
396294,train2014
396296,train2014
376848,train2014
546021,train2014
173568,train2014
523466,train2014
173561,train2014
554373,train2014
313779,train2014
141101,train2014
134362,train2014
358566,train2014
363190,train2014
488541,train2014
81994,train2014
558113,train2014
484246,train2014
341900,train2014
452412,train2014
125390,train2014
42819,train2014
391113,train2014
403851,train2014
403853,train2014
391117,train2014
491727,train2014
406826,train2014
67262,train2014
411738,train2014
200764,train2014
419501,train2014
249529,train2014
481147,train2014
457460,train2014
203497,train2014
517911,train2014
38561,train2014
22291,train2014
205875,train2014
532635,train2014
203618,train2014
320292,train2014
327241,train2014
321168,train2014
364154,train2014
455198,train2014
192575,train2014
364159,train2014
331129,train2014
438867,train2014
400504,train2014
324537,train2014
122017,train2014
552585,train2014
115505,train2014
250991,train2014
411083,train2014
360811,train2014
237054,train2014
232025,train2014
524115,train2014
252439,train2014
547770,train2014
203612,train2014
44227,train2014
123944,train2014
98494,train2014
89949,train2014
108841,train2014
108840,train2014
33527,train2014
89947,train2014
362658,train2014
18766,train2014
87126,train2014
87125,train2014
41547,train2014
41549,train2014
398733,train2014
379018,train2014
190232,train2014
83632,train2014
129437,train2014
129436,train2014
129439,train2014
202723,train2014
450111,train2014
450110,train2014
137847,train2014
480239,train2014
314500,train2014
319038,train2014
272804,train2014
272807,train2014
296573,train2014
272803,train2014
319031,train2014
365284,train2014
352125,train2014
60437,train2014
365282,train2014
316612,train2014
352129,train2014
405849,train2014
405848,train2014
417369,train2014
24637,train2014
557236,train2014
405840,train2014
405843,train2014
405842,train2014
513888,train2014
126144,train2014
395740,train2014
395744,train2014
178476,train2014
398191,train2014
259527,train2014
259526,train2014
207805,train2014
163985,train2014
283329,train2014
497870,train2014
139930,train2014
356866,train2014
541327,train2014
86654,train2014
541324,train2014
489199,train2014
393744,train2014
123055,train2014
226501,train2014
219663,train2014
242431,train2014
226502,train2014
214379,train2014
88720,train2014
546800,train2014
213181,train2014
543877,train2014
150367,train2014
259297,train2014
259296,train2014
310514,train2014
383569,train2014
461507,train2014
461505,train2014
461501,train2014
354402,train2014
315221,train2014
244872,train2014
13988,train2014
378056,train2014
465218,train2014
307061,train2014
468626,train2014
354409,train2014
468623,train2014
503250,train2014
212589,train2014
460453,train2014
266618,train2014
556185,train2014
160866,train2014
318073,train2014
318071,train2014
211557,train2014
158286,train2014
492736,train2014
463903,train2014
241312,train2014
492731,train2014
174806,train2014
315229,train2014
69693,train2014
154597,train2014
81567,train2014
222276,train2014
257263,train2014
201402,train2014
486300,train2014
486304,train2014
13670,train2014
13671,train2014
517998,train2014
43333,train2014
13675,train2014
576417,train2014
392839,train2014
116570,train2014
449826,train2014
16009,train2014
406013,train2014
96436,train2014
116352,train2014
116353,train2014
116356,train2014
56845,train2014
17355,train2014
56848,train2014
570719,train2014
52341,train2014
320609,train2014
90872,train2014
120088,train2014
459853,train2014
414046,train2014
235029,train2014
573169,train2014
300598,train2014
581419,train2014
305517,train2014
499874,train2014
499871,train2014
121977,train2014
153105,train2014
422254,train2014
64001,train2014
257847,train2014
52693,train2014
349099,train2014
250815,train2014
20860,train2014
64008,train2014
148427,train2014
118306,train2014
265356,train2014
118302,train2014
542000,train2014
572413,train2014
215176,train2014
260310,train2014
260311,train2014
16114,train2014
300040,train2014
14622,train2014
152857,train2014
292982,train2014
152858,train2014
490645,train2014
490646,train2014
489333,train2014
485654,train2014
323153,train2014
473604,train2014
161809,train2014
16111,train2014
427152,train2014
162577,train2014
469995,train2014
90290,train2014
162573,train2014
518472,train2014
16113,train2014
45634,train2014
303585,train2014
7945,train2014
510264,train2014
467109,train2014
579725,train2014
9199,train2014
80389,train2014
80385,train2014
369973,train2014
391874,train2014
165271,train2014
313388,train2014
236593,train2014
414959,train2014
478336,train2014
564552,train2014
295068,train2014
478331,train2014
167891,train2014
414954,train2014
167892,train2014
152275,train2014
112950,train2014
560242,train2014
63252,train2014
444033,train2014
95185,train2014
444036,train2014
491117,train2014
142100,train2014
54692,train2014
491113,train2014
571141,train2014
291980,train2014
571146,train2014
236048,train2014
50274,train2014
542915,train2014
26833,train2014
67577,train2014
67572,train2014
288180,train2014
426204,train2014
187714,train2014
335525,train2014
68636,train2014
96986,train2014
96984,train2014
466277,train2014
498694,train2014
160041,train2014
158908,train2014
268268,train2014
30418,train2014
268141,train2014
380139,train2014
158906,train2014
415604,train2014
507148,train2014
209957,train2014
263039,train2014
477590,train2014
415608,train2014
263031,train2014
168542,train2014
151778,train2014
168541,train2014
192927,train2014
91454,train2014
62127,train2014
169495,train2014
79720,train2014
91451,train2014
79722,train2014
169490,train2014
58553,train2014
443562,train2014
338061,train2014
443564,train2014
262925,train2014
144620,train2014
144622,train2014
282803,train2014
529340,train2014
529345,train2014
288724,train2014
288723,train2014
267201,train2014
228901,train2014
35052,train2014
145573,train2014
369774,train2014
369775,train2014
369777,train2014
330329,train2014
330327,train2014
148994,train2014
369778,train2014
197251,train2014
55128,train2014
507812,train2014
542402,train2014
544427,train2014
91989,train2014
144199,train2014
129370,train2014
129371,train2014
144196,train2014
144194,train2014
126347,train2014
151192,train2014
110516,train2014
110514,train2014
93580,train2014
93581,train2014
93586,train2014
93587,train2014
469237,train2014
253170,train2014
549459,train2014
27005,train2014
27002,train2014
303003,train2014
150821,train2014
445810,train2014
445814,train2014
417607,train2014
355413,train2014
355415,train2014
266556,train2014
266557,train2014
503114,train2014
259886,train2014
259884,train2014
253281,train2014
78925,train2014
198997,train2014
78923,train2014
32586,train2014
35580,train2014
9945,train2014
56473,train2014
221509,train2014
195595,train2014
292047,train2014
32059,train2014
333144,train2014
563208,train2014
55872,train2014
55873,train2014
61048,train2014
62929,train2014
227903,train2014
295893,train2014
431297,train2014
286302,train2014
368969,train2014
25710,train2014
377084,train2014
258538,train2014
436744,train2014
253827,train2014
21872,train2014
345283,train2014
104752,train2014
253828,train2014
253829,train2014
346956,train2014
521887,train2014
261521,train2014
423643,train2014
245409,train2014
175088,train2014
344885,train2014
445103,train2014
204606,train2014
445105,train2014
344880,train2014
136265,train2014
99382,train2014
215023,train2014
412922,train2014
572765,train2014
64941,train2014
167795,train2014
455358,train2014
418929,train2014
329175,train2014
329179,train2014
455350,train2014
346481,train2014
299371,train2014
299372,train2014
289057,train2014
470995,train2014
470999,train2014
209185,train2014
332239,train2014
508725,train2014
222741,train2014
53957,train2014
36776,train2014
386497,train2014
101989,train2014
520256,train2014
379620,train2014
535302,train2014
105401,train2014
33727,train2014
14662,train2014
387724,train2014
265315,train2014
528284,train2014
265316,train2014
530762,train2014
106660,train2014
106666,train2014
440057,train2014
106664,train2014
310498,train2014
377464,train2014
38606,train2014
83430,train2014
216026,train2014
102757,train2014
534655,train2014
102754,train2014
146128,train2014
202523,train2014
202522,train2014
275895,train2014
146121,train2014
432247,train2014
188927,train2014
346223,train2014
262414,train2014
316059,train2014
270972,train2014
27829,train2014
420711,train2014
27826,train2014
797,train2014
46230,train2014
561199,train2014
790,train2014
248948,train2014
561190,train2014
561196,train2014
83382,train2014
151864,train2014
198434,train2014
441906,train2014
198436,train2014
441903,train2014
300930,train2014
372804,train2014
278710,train2014
544728,train2014
511829,train2014
511828,train2014
456191,train2014
348202,train2014
439242,train2014
198751,train2014
569431,train2014
517794,train2014
537231,train2014
537232,train2014
271595,train2014
520701,train2014
525555,train2014
39553,train2014
77936,train2014
475001,train2014
475007,train2014
39555,train2014
471718,train2014
528130,train2014
33891,train2014
511143,train2014
531684,train2014
33898,train2014
109995,train2014
529661,train2014
511141,train2014
529665,train2014
529667,train2014
173345,train2014
72216,train2014
331152,train2014
273999,train2014
360695,train2014
437908,train2014
271622,train2014
133879,train2014
378214,train2014
344579,train2014
344578,train2014
228244,train2014
481893,train2014
228246,train2014
37174,train2014
133874,train2014
531979,train2014
182972,train2014
505658,train2014
182974,train2014
370045,train2014
41404,train2014
186828,train2014
39597,train2014
183626,train2014
241156,train2014
373532,train2014
249309,train2014
249306,train2014
273665,train2014
108314,train2014
483796,train2014
108313,train2014
276015,train2014
327462,train2014
442345,train2014
317863,train2014
574463,train2014
239120,train2014
406250,train2014
554104,train2014
400361,train2014
510430,train2014
279978,train2014
4761,train2014
287512,train2014
558835,train2014
454940,train2014
558836,train2014
86267,train2014
172434,train2014
287519,train2014
397192,train2014
349046,train2014
524730,train2014
276956,train2014
553773,train2014
329942,train2014
185287,train2014
201173,train2014
117317,train2014
329948,train2014
515230,train2014
361564,train2014
449599,train2014
449598,train2014
181990,train2014
103935,train2014
181992,train2014
471755,train2014
103932,train2014
366695,train2014
403553,train2014
510519,train2014
526391,train2014
354035,train2014
403556,train2014
400091,train2014
400093,train2014
400094,train2014
397445,train2014
281917,train2014
324280,train2014
281910,train2014
219454,train2014
130745,train2014
404783,train2014
240689,train2014
244504,train2014
379672,train2014
130749,train2014
240684,train2014
450735,train2014
16183,train2014
450737,train2014
494574,train2014
480851,train2014
494572,train2014
480852,train2014
230522,train2014
494579,train2014
552796,train2014
306049,train2014
552791,train2014
181662,train2014
489538,train2014
207654,train2014
372374,train2014
427310,train2014
357013,train2014
81819,train2014
427319,train2014
95726,train2014
133486,train2014
550482,train2014
44937,train2014
276909,train2014
248169,train2014
439509,train2014
316804,train2014
140460,train2014
233955,train2014
233956,train2014
363023,train2014
80147,train2014
402207,train2014
326414,train2014
514544,train2014
514546,train2014
448648,train2014
205217,train2014
270502,train2014
290215,train2014
270500,train2014
10358,train2014
336552,train2014
396311,train2014
293511,train2014
539359,train2014
539358,train2014
392674,train2014
550157,train2014
293514,train2014
321821,train2014
139095,train2014
378985,train2014
408625,train2014
334681,train2014
355593,train2014
193649,train2014
246909,train2014
574299,train2014
31470,train2014
247366,train2014
232543,train2014
247360,train2014
426049,train2014
125056,train2014
388841,train2014
485374,train2014
247368,train2014
426040,train2014
568288,train2014
61588,train2014
109666,train2014
839,train2014
211909,train2014
184903,train2014
134111,train2014
134113,train2014
133467,train2014
298835,train2014
202888,train2014
426598,train2014
455654,train2014
455657,train2014
455651,train2014
291165,train2014
80853,train2014
465784,train2014
455658,train2014
465786,train2014
317040,train2014
164222,train2014
319912,train2014
279935,train2014
319917,train2014
1720,train2014
319914,train2014
172392,train2014
569887,train2014
172398,train2014
310897,train2014
384122,train2014
385658,train2014
178538,train2014
407590,train2014
381577,train2014
538555,train2014
353485,train2014
14307,train2014
353480,train2014
442445,train2014
133839,train2014
573749,train2014
305895,train2014
280731,train2014
324708,train2014
246012,train2014
122207,train2014
17967,train2014
324705,train2014
411291,train2014
365677,train2014
283426,train2014
540753,train2014
258040,train2014
258043,train2014
118563,train2014
542662,train2014
282771,train2014
388153,train2014
114230,train2014
282776,train2014
300622,train2014
300620,train2014
300624,train2014
300629,train2014
