image_ids,image_urls
287140,http://images.cocodataset.org/train2014/COCO_train2014_000000287140.jpg
378461,http://images.cocodataset.org/train2014/COCO_train2014_000000378461.jpg
199390,http://images.cocodataset.org/train2014/COCO_train2014_000000199390.jpg
439278,http://images.cocodataset.org/train2014/COCO_train2014_000000439278.jpg
469918,http://images.cocodataset.org/train2014/COCO_train2014_000000469918.jpg
370250,http://images.cocodataset.org/train2014/COCO_train2014_000000370250.jpg
11544,http://images.cocodataset.org/train2014/COCO_train2014_000000011544.jpg
370258,http://images.cocodataset.org/train2014/COCO_train2014_000000370258.jpg
148706,http://images.cocodataset.org/train2014/COCO_train2014_000000148706.jpg
286892,http://images.cocodataset.org/train2014/COCO_train2014_000000286892.jpg
286897,http://images.cocodataset.org/train2014/COCO_train2014_000000286897.jpg
286899,http://images.cocodataset.org/train2014/COCO_train2014_000000286899.jpg
19394,http://images.cocodataset.org/train2014/COCO_train2014_000000019394.jpg
281774,http://images.cocodataset.org/train2014/COCO_train2014_000000281774.jpg
103549,http://images.cocodataset.org/train2014/COCO_train2014_000000103549.jpg
38845,http://images.cocodataset.org/train2014/COCO_train2014_000000038845.jpg
241611,http://images.cocodataset.org/train2014/COCO_train2014_000000241611.jpg
57481,http://images.cocodataset.org/train2014/COCO_train2014_000000057481.jpg
452892,http://images.cocodataset.org/train2014/COCO_train2014_000000452892.jpg
113991,http://images.cocodataset.org/train2014/COCO_train2014_000000113991.jpg
244768,http://images.cocodataset.org/train2014/COCO_train2014_000000244768.jpg
120120,http://images.cocodataset.org/train2014/COCO_train2014_000000120120.jpg
215304,http://images.cocodataset.org/train2014/COCO_train2014_000000215304.jpg
215300,http://images.cocodataset.org/train2014/COCO_train2014_000000215300.jpg
120127,http://images.cocodataset.org/train2014/COCO_train2014_000000120127.jpg
410345,http://images.cocodataset.org/train2014/COCO_train2014_000000410345.jpg
235388,http://images.cocodataset.org/train2014/COCO_train2014_000000235388.jpg
