# Shape, Color, Fill, Caption, Labels
0,4,8,0,4
0,4,8,1,8
0,4,8,2,48
0,4,8,3,56
0,4,8,4,96
0,4,8,5,100
1,4,8,0,16
1,4,8,1,20
1,4,8,2,49
1,4,8,3,56
1,4,8,4,97
1,4,8,5,100
2,4,8,0,28
2,4,8,1,32
2,4,8,2,50
2,4,8,3,56
2,4,8,4,98
2,4,8,5,100
3,4,8,0,40
3,4,8,1,44
3,4,8,2,51
3,4,8,3,56
3,4,8,4,99
3,4,8,5,100
0,5,8,0,5
0,5,8,1,8
0,5,8,2,60
0,5,8,3,68
0,5,8,4,96
0,5,8,5,101
1,5,8,0,17
1,5,8,1,20
1,5,8,2,61
1,5,8,3,68
1,5,8,4,97
1,5,8,5,101
2,5,8,0,29
2,5,8,1,32
2,5,8,2,62
2,5,8,3,68
2,5,8,4,98
2,5,8,5,101
3,5,8,0,41
3,5,8,1,44
3,5,8,2,63
3,5,8,3,68
3,5,8,4,99
3,5,8,5,101
0,6,8,0,6
0,6,8,1,8
0,6,8,2,72
0,6,8,3,80
0,6,8,4,96
0,6,8,5,102
1,6,8,0,18
1,6,8,1,20
1,6,8,2,73
1,6,8,3,80
1,6,8,4,97
1,6,8,5,102
2,6,8,0,30
2,6,8,1,32
2,6,8,2,74
2,6,8,3,80
2,6,8,4,98
2,6,8,5,102
3,6,8,0,42
3,6,8,1,44
3,6,8,2,75
3,6,8,3,80
3,6,8,4,99
3,6,8,5,102
0,7,8,0,7
0,7,8,1,8
0,7,8,2,84
0,7,8,3,92
0,7,8,4,96
0,7,8,5,103
1,7,8,0,19
1,7,8,1,20
1,7,8,2,85
1,7,8,3,92
1,7,8,4,97
1,7,8,5,103
2,7,8,0,31
2,7,8,1,32
2,7,8,2,86
2,7,8,3,92
2,7,8,4,98
2,7,8,5,103
3,7,8,0,43
3,7,8,1,44
3,7,8,2,87
3,7,8,3,92
3,7,8,4,99
3,7,8,5,103
0,4,9,0,4
0,4,9,1,9
0,4,9,2,48
0,4,9,3,57
0,4,9,4,108
0,4,9,5,112
1,4,9,0,16
1,4,9,1,21
1,4,9,2,49
1,4,9,3,57
1,4,9,4,109
1,4,9,5,112
2,4,9,0,28
2,4,9,1,33
2,4,9,2,50
2,4,9,3,57
2,4,9,4,110
2,4,9,5,112
3,4,9,0,40
3,4,9,1,45
3,4,9,2,51
3,4,9,3,57
3,4,9,4,111
3,4,9,5,112
0,5,9,0,5
0,5,9,1,9
0,5,9,2,60
0,5,9,3,69
0,5,9,4,108
0,5,9,5,113
1,5,9,0,17
1,5,9,1,21
1,5,9,2,61
1,5,9,3,69
1,5,9,4,109
1,5,9,5,113
2,5,9,0,29
2,5,9,1,33
2,5,9,2,62
2,5,9,3,69
2,5,9,4,110
2,5,9,5,113
3,5,9,0,41
3,5,9,1,45
3,5,9,2,63
3,5,9,3,69
3,5,9,4,111
3,5,9,5,113
0,6,9,0,6
0,6,9,1,9
0,6,9,2,72
0,6,9,3,81
0,6,9,4,108
0,6,9,5,114
1,6,9,0,18
1,6,9,1,21
1,6,9,2,73
1,6,9,3,81
1,6,9,4,109
1,6,9,5,114
2,6,9,0,30
2,6,9,1,33
2,6,9,2,74
2,6,9,3,81
2,6,9,4,110
2,6,9,5,114
3,6,9,0,42
3,6,9,1,45
3,6,9,2,75
3,6,9,3,81
3,6,9,4,111
3,6,9,5,114
0,7,9,0,7
0,7,9,1,9
0,7,9,2,84
0,7,9,3,93
0,7,9,4,108
0,7,9,5,115
1,7,9,0,19
1,7,9,1,21
1,7,9,2,85
1,7,9,3,93
1,7,9,4,109
1,7,9,5,115
2,7,9,0,31
2,7,9,1,33
2,7,9,2,86
2,7,9,3,93
2,7,9,4,110
2,7,9,5,115
3,7,9,0,43
3,7,9,1,45
3,7,9,2,87
3,7,9,3,93
3,7,9,4,111
3,7,9,5,115
0,4,10,0,4
0,4,10,1,10
0,4,10,2,48
0,4,10,3,58
0,4,10,4,120
0,4,10,5,124
1,4,10,0,16
1,4,10,1,22
1,4,10,2,49
1,4,10,3,58
1,4,10,4,121
1,4,10,5,124
2,4,10,0,28
2,4,10,1,34
2,4,10,2,50
2,4,10,3,58
2,4,10,4,122
2,4,10,5,124
3,4,10,0,40
3,4,10,1,46
3,4,10,2,51
3,4,10,3,58
3,4,10,4,123
3,4,10,5,124
0,5,10,0,5
0,5,10,1,10
0,5,10,2,60
0,5,10,3,70
0,5,10,4,120
0,5,10,5,125
1,5,10,0,17
1,5,10,1,22
1,5,10,2,61
1,5,10,3,70
1,5,10,4,121
1,5,10,5,125
2,5,10,0,29
2,5,10,1,34
2,5,10,2,62
2,5,10,3,70
2,5,10,4,122
2,5,10,5,125
3,5,10,0,41
3,5,10,1,46
3,5,10,2,63
3,5,10,3,70
3,5,10,4,123
3,5,10,5,125
0,6,10,0,6
0,6,10,1,10
0,6,10,2,72
0,6,10,3,82
0,6,10,4,120
0,6,10,5,126
1,6,10,0,18
1,6,10,1,22
1,6,10,2,73
1,6,10,3,82
1,6,10,4,121
1,6,10,5,126
2,6,10,0,30
2,6,10,1,34
2,6,10,2,74
2,6,10,3,82
2,6,10,4,122
2,6,10,5,126
3,6,10,0,42
3,6,10,1,46
3,6,10,2,75
3,6,10,3,82
3,6,10,4,123
3,6,10,5,126
0,7,10,0,7
0,7,10,1,10
0,7,10,2,84
0,7,10,3,94
0,7,10,4,120
0,7,10,5,127
1,7,10,0,19
1,7,10,1,22
1,7,10,2,85
1,7,10,3,94
1,7,10,4,121
1,7,10,5,127
2,7,10,0,31
2,7,10,1,34
2,7,10,2,86
2,7,10,3,94
2,7,10,4,122
2,7,10,5,127
3,7,10,0,43
3,7,10,1,46
3,7,10,2,87
3,7,10,3,94
3,7,10,4,123
3,7,10,5,127
0,4,11,0,4
0,4,11,1,11
0,4,11,2,48
0,4,11,3,59
0,4,11,4,132
0,4,11,5,136
1,4,11,0,16
1,4,11,1,23
1,4,11,2,49
1,4,11,3,59
1,4,11,4,133
1,4,11,5,136
2,4,11,0,28
2,4,11,1,35
2,4,11,2,50
2,4,11,3,59
2,4,11,4,134
2,4,11,5,136
3,4,11,0,40
3,4,11,1,47
3,4,11,2,51
3,4,11,3,59
3,4,11,4,135
3,4,11,5,136
0,5,11,0,5
0,5,11,1,11
0,5,11,2,60
0,5,11,3,71
0,5,11,4,132
0,5,11,5,137
1,5,11,0,17
1,5,11,1,23
1,5,11,2,61
1,5,11,3,71
1,5,11,4,133
1,5,11,5,137
2,5,11,0,29
2,5,11,1,35
2,5,11,2,62
2,5,11,3,71
2,5,11,4,134
2,5,11,5,137
3,5,11,0,41
3,5,11,1,47
3,5,11,2,63
3,5,11,3,71
3,5,11,4,135
3,5,11,5,137
0,6,11,0,6
0,6,11,1,11
0,6,11,2,72
0,6,11,3,83
0,6,11,4,132
0,6,11,5,138
1,6,11,0,18
1,6,11,1,23
1,6,11,2,73
1,6,11,3,83
1,6,11,4,133
1,6,11,5,138
2,6,11,0,30
2,6,11,1,35
2,6,11,2,74
2,6,11,3,83
2,6,11,4,134
2,6,11,5,138
3,6,11,0,42
3,6,11,1,47
3,6,11,2,75
3,6,11,3,83
3,6,11,4,135
3,6,11,5,138
0,7,11,0,7
0,7,11,1,11
0,7,11,2,84
0,7,11,3,95
0,7,11,4,132
0,7,11,5,139
1,7,11,0,19
1,7,11,1,23
1,7,11,2,85
1,7,11,3,95
1,7,11,4,133
1,7,11,5,139
2,7,11,0,31
2,7,11,1,35
2,7,11,2,86
2,7,11,3,95
2,7,11,4,134
2,7,11,5,139
3,7,11,0,43
3,7,11,1,47
3,7,11,2,87
3,7,11,3,95
3,7,11,4,135
3,7,11,5,139
